Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,HERPG,HER%,DRA@15,TD@15,GD@15,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
100 Thieves,S11,NA,6,50.0%,0.94,1691,-89,34:41,12.0,12.8,4.8,6.8,33.3,16.7,2.33,47.9,0.67,33.3,0.83,-0.5,-798,0.50,50.0,32.1,1554,4.0,1.51,1.50
Cloud9,S11,NA,10,30.0%,0.83,1762,-98,35:03,12.0,14.5,5.3,7.7,50.0,30.0,2.00,46.4,1.00,50.0,0.50,-0.3,-188,0.60,35.0,33.6,1572,3.4,1.26,1.60
Detonation FocusMe,S11,JP,6,0.0%,0.45,1533,-447,31:13,7.5,16.8,2.5,9.7,66.7,33.3,1.00,26.6,0.50,25.0,0.33,-1.0,-3154,0.33,25.0,30.1,1427,3.3,1.36,1.63
DWG KIA,S11,KR,19,73.7%,1.53,1835,150,34:40,15.3,10.0,7.9,5.0,52.6,68.4,2.79,65.4,1.21,60.5,0.84,0.3,1179,0.89,60.5,32.1,1902,4.0,1.60,1.84
Edward Gaming,S11,CN,21,61.9%,1.15,1807,105,32:44,12.3,10.7,7.2,5.1,57.1,61.9,2.38,57.4,1.14,57.1,0.57,0.1,583,0.71,54.2,33.2,1848,3.3,1.31,1.82
Fnatic,S11,EUW,6,16.7%,0.56,1756,-211,37:41,15.7,27.8,4.8,9.0,33.3,83.3,2.17,39.2,1.00,50.0,1.00,0.3,-293,0.50,22.2,30.5,2164,3.2,1.33,1.48
Funplus Phoenix,S11,CN,7,28.6%,0.57,1703,-188,33:26,9.0,15.9,5.3,8.7,28.6,42.9,1.57,32.9,1.14,57.1,0.57,-0.1,-1741,0.43,35.7,33.1,1361,3.6,1.51,1.59
Gen.G eSports,S11,KR,16,62.5%,1.10,1798,48,36:04,14.1,12.8,7.4,6.2,56.3,68.8,2.50,53.9,1.06,53.1,0.75,0.4,555,1.00,61.1,31.9,1756,3.6,1.58,1.72
Hanwha Life eSports,S11,KR,10,40.0%,0.92,1734,-37,35:40,12.7,13.7,5.3,7.0,50.0,40.0,2.40,49.0,1.30,65.0,0.90,-0.1,335,0.80,50.0,32.0,1838,3.6,1.60,1.69
LNG Esports,S11,CN,7,42.9%,1.19,1757,-5,31:40,12.7,10.6,6.1,6.6,57.1,42.9,2.57,61.7,0.29,14.3,0.86,-0.4,-193,0.29,30.0,33.3,1648,3.2,1.17,1.52
MAD Lions,S11,EUW,11,36.4%,0.82,1778,-52,37:04,15.2,18.5,6.5,7.1,45.5,36.4,1.82,34.8,1.18,59.1,0.18,-0.1,-323,0.91,39.4,31.9,1856,3.7,1.23,1.69
PSG Talon,S11,PCS,6,50.0%,1.21,1746,-59,36:47,15.5,12.8,6.0,7.0,33.3,33.3,2.00,35.5,0.67,33.3,0.17,-0.5,-2341,1.17,73.3,31.0,1914,3.4,1.32,1.50
Rogue,S11,EUW,8,37.5%,0.91,1752,-81,37:00,13.4,14.5,5.8,7.4,25.0,25.0,1.75,40.4,0.75,37.5,0.25,-0.4,-1124,0.63,41.7,32.7,1702,3.5,1.04,1.60
Royal Never Give Up,S11,CN,12,58.3%,1.16,1807,40,34:17,16.3,14.0,6.8,5.6,58.3,41.7,2.50,55.7,0.67,33.3,0.83,0.0,271,0.50,36.4,31.0,1908,3.4,1.38,1.53
T1,S11,KR,14,71.4%,1.62,1848,212,31:02,11.7,7.2,7.8,4.1,71.4,64.3,1.79,53.9,1.21,60.7,0.21,0.7,1572,1.00,73.1,33.4,1751,3.5,1.51,1.67
Team Liquid,S11,NA,7,42.9%,0.84,1735,-73,33:25,10.7,12.7,5.6,7.4,28.6,42.9,2.29,50.2,1.00,57.1,1.00,-0.3,-663,0.71,63.9,32.3,1693,3.4,1.27,1.41